"schoolid" "id" "name" "type" "black09" "size09" "lep09" "lowinc09" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"33" "0107501202001" "010750120262001" "Western Barry Elem               " "02" 0 155 1 40.8 0 36 48 16 0 24 60 16 "WESTERN BARRY ELEM" "Illinois" "2-No" "2-No" 39.697583 -91.044594 "*0107501202001" "01-075-0120-26" 1718 "1-Yes" "PIKE COUNTY"
"34" "0107501202002" "010750120262002" "Western Hull Elem                " "02" 0 66 0 40.4 0 27.8 50 22.2 0 0 88.2 11.8 "WESTERN HULL ELEM" "Illinois" "2-No" "2-No" 39.712088 -91.207576 "*0107501202002" "01-075-0120-26" 1718 "1-Yes" "PIKE COUNTY"
"35" "0200200100001" "020020010220001" "Cairo Jr/Sr High School          " "00" 88.5 185 0 100 NA NA NA NA NA NA NA NA "CAIRO JR/SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.019583 -89.187837 "*0200200100001" "02-002-0010-22" 1712 "2-No" "ALEXANDER COUNTY"
"36" "0200200102004" "020020010222004" "Emerson Elem School              " "02" 85.3 156 0 99 NA NA NA NA NA NA NA NA "CAIRO ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.012091 -89.183486 "*0200200102004" "02-002-0010-22" 1712 "1-Yes" "ALEXANDER COUNTY"
"37" "0200200500001" "020020050260001" "Egyptian Sr High School          " "00" 26.7 150 0 47.6 NA NA NA NA NA NA NA NA "EGYPTIAN SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.228318 -89.324355 "*0200200500001" "02-002-0050-26" 1712 "2-No" "ALEXANDER COUNTY"
"38" "0200200501001" "020020050261001" "Egyptian Jr High School          " "01" 25 74 0 57.1 NA NA NA NA NA NA NA NA "EGYPTIAN JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.2278 -89.3244 "*0200200501001" "02-002-0050-26" 1712 "2-No" "ALEXANDER COUNTY"
"39" "0200200502002" "020020050262002" "Egyptian Elem School             " "02" 21.9 274 0.3 47.9 2.8 16.7 61.1 19.4 2.8 5.6 77.8 13.9 "EGYPTIAN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.2278 -89.3244 "*0200200502002" "02-002-0050-26" 1712 "1-Yes" "ALEXANDER COUNTY"
"40" "0204400100001" "020440010260001" "Goreville High School            " "00" 0 141 0 26.5 NA NA NA NA NA NA NA NA "GOREVILLE HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.554012 -88.978649 "*0204400100001" "02-044-0010-26" 1715 "2-No" "JOHNSON COUNTY"
"41" "0204400102001" "020440010262001" "Goreville Elementary School      " "02" 0 371 0 32.5 0 31.9 48.9 19.1 2.1 19.1 76.6 2.1 "GOREVILLE ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.553187 -88.978212 "*0204400102001" "02-044-0010-26" 1715 "1-Yes" "JOHNSON COUNTY"
"42" "0204403202003" "020440320032003" "New Simpson Hill Dist 32         " "02" 0 247 0 51.4 5.6 25 44.4 25 2.8 16.7 47.2 33.3 "NEW SIMPSON HILL DIST 32" "Illinois" "2-No" "2-No" 37.513605 -88.831255 "*0204403202003" "02-044-0320-03" 1715 "1-Yes" "JOHNSON COUNTY"
"43" "0204404302001" "020440430032001" "Buncombe Cons School             " "02" 0 28 0 40 0 40 60 0 0 10 90 0 "BUNCOMBE CONS SCHOOL" "Illinois" "2-No" "2-No" 37.470975 -88.978213 "*0204404302001" "02-044-0430-03" 1715 "1-Yes" "JOHNSON COUNTY"
"44" "0204405502001" "020440550022001" "Vienna Elem School Dist 55       " "02" 0.2 388 1.6 48.5 2.6 17.9 43.6 35.9 0 12.8 51.3 35.9 "VIENNA ELEM SCHOOL DIST 55" "Illinois" "2-No" "2-No" 37.412615 -88.89498 "*0204405502001" "02-044-0550-02" 1715 "1-Yes" "JOHNSON COUNTY"
"45" "0204406402001" "020440640022001" "Cypress Elem School              " "02" 0 92 0 43.1 0 7.1 28.6 64.3 0 0 28.6 71.4 "CYPRESS ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.371963 -89.020965 "*0204406402001" "02-044-0640-02" 1715 "1-Yes" "JOHNSON COUNTY"
"46" "0204413300001" "020441330170001" "Vienna High School               " "00" 1.2 364 0.2 39.5 NA NA NA NA NA NA NA NA "VIENNA HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.420552 -88.895053 "*0204413300001" "02-044-1330-17" 1715 "2-No" "JOHNSON COUNTY"
"47" "0206100100001" "020610010260001" "Massac County High School        " "00" 7.5 620 0 39.7 NA NA NA NA NA NA NA NA "MASSAC COUNTY HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.182743 -88.722153 "*0206100100001" "02-061-0010-26" 1715 "2-No" "MASSAC COUNTY"
"48" "0206100101001" "020610010261001" "Massac Jr High School            " "01" 8.4 233 0 51.1 NA NA NA NA NA NA NA NA "MASSAC JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.185586 -88.719949 "*0206100101001" "02-061-0010-26" 1715 "2-No" "MASSAC COUNTY"
"49" "0206100102001" "020610010262001" "Jefferson Elem School            " "02" 0 133 0 22.7 0 17.6 47.1 35.3 0 0 41.2 58.8 "JEFFERSON ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.265368 -88.702788 "*0206100102001" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"50" "0206100102002" "020610010262002" "Franklin Elem School             " "02" 1.4 174 0 24.7 0 16 56 28 0 4 44 52 "FRANKLIN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.203998 -88.770489 "*0206100102002" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"51" "0206100102003" "020610010262003" "Metropolis Elem School           " "02" 7.7 528 0 59.2 0 19.4 62.9 17.7 0 6.5 66.1 27.4 "METROPOLIS ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.153057 -88.722218 "*0206100102003" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"52" "0206100102006" "020610010262006" "Unity Elem School                " "02" 3.6 152 0 36.8 0 0 31.3 68.8 0 0 6.3 93.8 "UNITY ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.15971 -88.61932 "*0206100102006" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"53" "0206100102010" "020610010262010" "Brookport Elementary School      " "02" 12.6 198 0 68.6 0 33.3 56.7 10 0 10 73.3 16.7 "BROOKPORT ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.124891 -88.629482 "*0206100102010" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"54" "0206103800001" "020610380260001" "Joppa Jr & Sr High School        " "00" 2.7 72 0 51.8 NA NA NA NA NA NA NA NA "JOPPA JR & SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.21278 -88.845329 "*0206103800001" "02-061-0380-26" 1715 "2-No" "MASSAC COUNTY"
"55" "0206103802001" "020610380262001" "Maple Grove Elem School          " "02" 0.5 148 0 59.8 0 23.1 46.2 30.8 0 3.8 65.4 30.8 "MAPLE GROVE ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.229129 -88.858388 "*0206103802001" "02-061-0380-26" 1715 "1-Yes" "MASSAC COUNTY"
"56" "0207710000001" "020771000260001" "Century Jr/Sr High School        " "00" 20.8 142 0 75.4 NA NA NA NA NA NA NA NA "CENTURY JR/SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.270454 -89.098393 "*0207710000001" "02-077-1000-26" 1712 "2-No" "PULASKI COUNTY"
"57" "0207710002004" "020771000262004" "Century Elementary School        " "02" 18.9 229 0 76.3 0 28.1 37.5 34.4 3.1 34.4 46.9 15.6 "CENTURY ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.271055 -89.09775 "*0207710002004" "02-077-1000-26" 1712 "1-Yes" "PULASKI COUNTY"
"58" "0207710100001" "020771010260001" "Meridian High School             " "00" 65.2 157 0 71.2 NA NA NA NA NA NA NA NA "MERIDIAN HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.130421 -89.169221 "*0207710100001" "02-077-1010-26" 1712 "2-No" "PULASKI COUNTY"
"59" "0207710102005" "020771010262005" "Meridian Elementary School       " "02" 59.4 459 0 80 2.1 57.4 36.2 4.3 0 25.5 68.1 6.4 "MERIDIAN ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.133908 -89.169866 "*0207710102005" "02-077-1010-26" 1712 "1-Yes" "PULASKI COUNTY"
"60" "0209101602001" "020910160042001" "Lick Creek Elem School           " "02" 0 103 0 41.1 0 28.6 57.1 14.3 0 14.3 71.4 14.3 "LICK CREEK ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.510691 -89.041757 "*0209101602001" "02-091-0160-04" 1715 "1-Yes" "JOHNSON COUNTY"
"61" "0209101700001" "020910170220001" "Cobden High School               " "00" 0 162 3.4 44.8 NA NA NA NA NA NA NA NA "COBDEN HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.537888 -89.256899 "*0209101700001" "02-091-0170-22" 1712 "2-No" "UNION COUNTY"
"62" "0209101701001" "020910170221001" "Cobden Jr High School            " "01" 1.4 32 5.8 53.6 NA NA NA NA NA NA NA NA "COBDEN JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.538289 -89.256968 "*0209101701001" "02-091-0170-22" 1712 "2-No" "UNION COUNTY"
