name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
ALLEN JUNIOR HIGH SCHOOL,Illinois,2-No,2-No,41.529760,-89.280469,2800630302004,*2800630302004,28-006-3030-26,1716,1-Yes,BUREAU COUNTY
ALLENDALE ELEMENTARY SCHOOL,Illinois,2-No,2-No,38.526204,-87.707083,2009301702001,*2009301702001,20-093-0170-24,1715,1-Yes,WABASH COUNTY
ALLENDALE SCHOOL,Illinois,2-No,2-No,42.415505,-88.066881,3404911703001,*3404911703001,34-049-1170-16,1710,2-No,LAKE COUNTY
ALOP ALTERNATIVE HIGH SCHOOL,Illinois,2-No,2-No,41.810029,-87.627105,1501629903785,*1501629903785,15-016-2990-25,1707,2-No,COOK COUNTY
ALTA SITA ELEM SCHOOL,Illinois,2-No,2-No,38.600690,-90.140990,5008218902001,*5008218902001,50-082-1890-22,1712,1-Yes,ST. CLAIR COUNTY
ALTAMONT GRADE SCHOOL,Illinois,2-No,2-No,39.054598,-88.744891,0302501002002,*0302501002002,03-025-0100-26,1715,1-Yes,EFFINGHAM COUNTY
ALTAMONT HIGH SCHOOL,Illinois,2-No,2-No,39.059354,-88.740427,0302501000001,*0302501000001,03-025-0100-26,1715,2-No,EFFINGHAM COUNTY
ALTERNATIVE BD/ED ELEMENTARY,Illinois,2-No,2-No,41.871994,-87.845724,0601680306004,*0601680306004,06-016-8030-60,1707,1-Yes,COOK COUNTY
ALTERNATIVE BD/ED HIGH SCH,Illinois,2-No,2-No,41.871994,-87.845760,0601680306009,*0601680306009,06-016-8030-60,1707,2-No,COOK COUNTY
ALTERNATIVE RESOURCE CENTER  ARC,Illinois,2-No,2-No,42.028340,-87.855135,0501620703002,*0501620703002,05-016-2070-17,1709,2-No,COOK COUNTY
ALTGELD ELEM SCHOOL,Illinois,2-No,2-No,41.765186,-87.658299,1501629902055,*1501629902055,15-016-2990-25,1707,1-Yes,COOK COUNTY
ALTON HIGH SCHOOL,Illinois,2-No,2-No,38.935442,-90.158430,4105701100001,*4105701100001,41-057-0110-26,1713,2-No,MADISON COUNTY
ALTON MIDDLE SCHOOL,Illinois,2-No,2-No,38.904041,-90.155151,4105701101006,*4105701101006,41-057-0110-26,1712,2-No,MADISON COUNTY
ALWOOD  MIDDLE/HIGH SCHOOL,Illinois,2-No,2-No,41.181027,-90.312252,2803722500001,*2803722500001,28-037-2250-26,1717,2-No,HENRY COUNTY
ALWOOD ELEM SCHOOL,Illinois,2-No,2-No,41.195465,-90.378675,2803722502003,*2803722502003,28-037-2250-26,1717,1-Yes,HENRY COUNTY
AMANDLA ELEM CHARTER SCHOOL,Illinois,1-Yes,2-No,41.768937,-87.634830,150162990227C,*150162990227C,15-016-2990-25,1701,2-No,COOK COUNTY
AMBOY CENTRAL ELEM SCHOOL,Illinois,2-No,2-No,41.717308,-89.333950,4705227202003,*4705227202003,47-052-2720-26,1716,1-Yes,LEE COUNTY
AMBOY HIGH SCHOOL,Illinois,2-No,2-No,41.719954,-89.333313,4705227200001,*4705227200001,47-052-2720-26,1716,2-No,LEE COUNTY
AMBOY JR HIGH SCHOOL,Illinois,2-No,2-No,41.713019,-89.337200,4705227201002,*4705227201002,47-052-2720-26,1716,2-No,LEE COUNTY
AMELIA V CARRIEL JR HIGH,Illinois,2-No,2-No,38.604833,-89.892525,5008209001003,*5008209001003,50-082-0900-04,1712,2-No,ST. CLAIR COUNTY
AMERICANA INTERMEDIATE SCHOOL,Illinois,2-No,2-No,41.918065,-88.089998,1902201602001,*1902201602001,19-022-0160-02,1708,1-Yes,DUPAGE COUNTY
AMES MIDDLE SCHOOL,Illinois,2-No,2-No,41.916146,-87.722135,1501629902912,*1501629902912,15-016-2990-25,1704,2-No,COOK COUNTY
AMOS ALONZO STAGG HIGH SCHOOL,Illinois,2-No,2-No,41.687674,-87.818903,0701623000002,*0701623000002,07-016-2300-13,1703,2-No,COOK COUNTY
AMUNDSEN HIGH SCHOOL,Illinois,2-No,2-No,41.975232,-87.680089,1501629900001,*1501629900001,15-016-2990-25,1705,2-No,COOK COUNTY
ANDALUSIA ELEM SCHOOL,Illinois,2-No,2-No,41.438309,-90.717984,4908130002003,*4908130002003,49-081-3000-26,1717,1-Yes,ROCK ISLAND COUNTY
