"key" "current" "open" "enrolled" "grades" "grade4" "latitude" "longitude"
"116" "cs116" "y" 2008 600 "K to 8" 1 41.809513 -87.730759
"117" "cs117" "y" 2008 638 "K to 8" 1 41.809513 -87.730759
"118" "cs118" "y" 2008 150 "9" 0 41.809513 -87.730759
"119" "cs119" "y" 2006 465 "K to 8" 1 41.8595416 -87.6675101
"120" "cs120" "y" 2013 380 "K to 8" 1 41.812901 -87.693459
"121" "cs121" "y" 2006 478 "K to 8" 1 41.9375148 -87.6988846
"122" "cs122" "y" 2011 278 "K to 8" 1 41.9003072 -87.689928
"123" "cs123" "y" 2012 576 "K to 8" 1 41.9176262 -87.7877683
"124" "cs124" "y" 2013 0 "9 to 10" 0 42.016052 -87.685883
"125" "cs125" "y" 2012 605 "K to 8" 1 42.016052 -87.685883
"126" "cs126" "n" 1998 409 "4 to 8" 1 41.8749375 -87.6864653
"127" "cs127" "y" 1998 372 "K to 3" 0 41.8500848 -87.6917452
"128" "cs128" "y" 2007 465 "K to 11" 1 41.808483 -87.698051
"129" "cs129" "y" 2005 465 "K to 8" 1 41.8003111 -87.6939178
"130" "cs130" "y" 2010 551 "K to 8" 1 41.823044 -87.694359
"131" "cs131" "y" 2011 573 "K to 8" 1 41.8016649 -87.7087303
"132" "cs132" "y" 2013 544 "7 to 10" 0 41.972883 -87.715863
"133" "cs133" "n" 2010 363 "9 to 10" 0 41.882911 -87.699179
"134" "cs134" "n" 2010 135 "9" 0 41.889695 -87.6266903
"135" "cs135" "y" 2010 502 "9 to 12" 0 41.8446721 -87.6281407
"136" "cs136" "y" 2006 300 "9 to 12" 0 41.7814518 -87.6350226
"137" "cs137" "y" 2010 476 "9 to 12" 0 41.86272 -87.660027
"138" "cs138" "y" 2000 350 "7 to 12" 0 41.844452 -87.618378
"139" "cs139" "n" 1998 3000 "9 to 12" 0 41.8310498 -87.6268284
"140" "cs140" "y" 2008 48 "10 to 12" 0 40.4996355 -89.0372124
