"schoolid" "id" "name" "type" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"55" "0207710000001" "020771000260001" "Century Jr/Sr High School        " "00" 20.4 152 0 78 NA NA NA NA NA NA NA NA "CENTURY JR/SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.270454 -89.098393 "*0207710000001" "02-077-1000-26" 1712 "2-No" "PULASKI COUNTY"
"56" "0207710002004" "020771000262004" "Century Elementary School        " "02" 18 194 0 82.8 5.7 34.3 45.7 14.3 0 17.1 82.9 0 "CENTURY ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.271055 -89.09775 "*0207710002004" "02-077-1000-26" 1712 "1-Yes" "PULASKI COUNTY"
"57" "0207710100001" "020771010260001" "Meridian High School             " "00" 64.3 118 0 73.2 NA NA NA NA NA NA NA NA "MERIDIAN HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.130421 -89.169221 "*0207710100001" "02-077-1010-26" 1712 "2-No" "PULASKI COUNTY"
"58" "0207710102005" "020771010262005" "Meridian Elementary School       " "02" 59.9 428 0 85.3 2.2 50 45.7 2.2 2.2 30.4 58.7 8.7 "MERIDIAN ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.133908 -89.169866 "*0207710102005" "02-077-1010-26" 1712 "1-Yes" "PULASKI COUNTY"
"59" "0209101602001" "020910160042001" "Lick Creek Elem School           " "02" 0 76 0 35.1 10 30 50 10 10 10 70 10 "LICK CREEK ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.510691 -89.041757 "*0209101602001" "02-091-0160-04" 1715 "1-Yes" "JOHNSON COUNTY"
"60" "0209101700001" "020910170220001" "Cobden High School               " "00" 0.6 115 1.9 45.5 NA NA NA NA NA NA NA NA "COBDEN HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.537888 -89.256899 "*0209101700001" "02-091-0170-22" 1712 "2-No" "UNION COUNTY"
"61" "0209101701001" "020910170221001" "Cobden Jr High School            " "01" 0 66 6.7 58.7 NA NA NA NA NA NA NA NA "COBDEN JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.538289 -89.256968 "*0209101701001" "02-091-0170-22" 1712 "2-No" "UNION COUNTY"
"62" "0209101702002" "020910170222002" "Cobden Elem School               " "02" 0.3 276 14.9 66.1 0 15.4 74.4 10.3 0 12.8 69.2 17.9 "COBDEN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.537178 -89.255936 "*0209101702002" "02-091-0170-22" 1712 "1-Yes" "UNION COUNTY"
"63" "0209103701001" "020910370041001" "Anna Junior High School          " "01" 1.1 242 0.4 51.8 NA NA NA NA NA NA NA NA "ANNA JUNIOR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.461291 -89.252586 "*0209103701001" "02-091-0370-04" 1712 "2-No" "UNION COUNTY"
"64" "0209103702002" "020910370042002" "Davie Elem School                " "02" 0.6 116 0.6 45.8 1.1 29 46.2 23.7 0 9.7 67.7 22.6 "DAVIE ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.461066 -89.252097 "*0209103702002" "02-091-0370-04" 1712 "1-Yes" "UNION COUNTY"
"65" "0209103702003" "020910370042003" "Lincoln Elem School              " "02" 0.7 249 1.7 55.4 NA NA NA NA NA NA NA NA "LINCOLN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.46399 -89.248126 "*0209103702003" "02-091-0370-04" 1712 "2-No" "UNION COUNTY"
