"schoolid" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "latitude" "longitude" "dmin" "dmax" "rad1" "rad2" "rad5" "rad10" "rmex11" "mmex11" "rmex09" "mmex09"
"792" 1501629902330 42.5 985 31.4 95.9 2.9 49.6 41.7 5.8 2.9 32.4 54.7 10.1 2 51.7 44.4 2 1.3 28.9 65.8 3.9 41.774222 -87.697245 1.59194324793796 253.669572234364 0 7 22 59 47.5 64.8 46.4 69.7
"793" 1501629902331 5.8 779 28.5 90.4 1.3 41 42.3 15.4 0 14.1 73.1 12.8 1.3 32.1 53.8 12.8 0 13.8 73.8 12.5 41.716913 -87.553321 2.54146765989595 254.340175333559 0 0 5 29 57.7 85.9 66.6 86.3
"794" 1501629902334 97.5 488 0 97.9 0 38.9 51.9 9.3 3.7 29.6 66.7 0 4.4 20 62.2 13.3 2.2 13.3 75.6 8.9 41.856529 -87.730639 0.0468041285814026 257.646095084465 3 11 32 62 61.2 66.7 75.5 84.5
"795" 1501629902336 99.2 467 0 98 2.1 45.8 43.8 8.3 4.2 18.8 66.7 10.4 1.9 51.9 38.5 7.7 7.7 34.6 50 7.7 41.889837 -87.750367 0.263650880892479 259.116537570373 1 6 29 54 52.1 77.1 46.2 57.7
"796" 1501629902337 30 551 3 47 0 31.9 48.9 19.1 0 10.6 68.1 21.3 5 32.5 50 12.5 2.5 20 60 17.5 41.922985 -87.65745 1.23277366010763 263.517532313097 0 6 26 52 68 89.4 62.5 77.5
"797" 1501629902338 99.3 396 0.2 97.7 4.5 48.5 40.9 6.1 7.6 31.8 50 10.6 7.9 47.6 31.7 12.7 4.8 23.8 65.1 6.3 41.827122 -87.619834 0.236805344987274 258.8786088473 3 9 28 62 47 60.6 44.4 71.4
"798" 1501629902339 18.1 237 18.4 93.1 0 25 50 25 0 10 60 30 4.2 45.8 25 25 0 12.5 66.7 20.8 41.830283 -87.640988 0.874202852125242 258.488064001554 1 9 40 62 75 90 50 87.5
"799" 1501629902341 0 807 51.2 99.1 3.1 29.8 58 9.2 1.5 15.3 64.1 19.1 1.7 46.1 47.8 4.3 0 13.6 74.6 11.9 41.842201 -87.706326 0.927341990764632 257.437660319228 1 15 37 64 67.2 83.2 52.1 86.5
"800" 1501629902344 50.6 310 29.7 98.6 4.2 43.8 41.7 10.4 2.1 14.6 68.8 14.6 2.4 36.6 46.3 14.6 0 17.1 68.3 14.6 41.97076 -87.654668 1.21478303050692 266.427971645242 0 1 10 37 52.1 83.4 60.9 82.9
"801" 1501629902345 96.9 157 0 34.7 0 0 12.9 87.1 0 0 16.1 83.9 0 3.6 28.6 67.9 0 0 39.3 60.7 41.734512 -87.619077 1.58457818289326 253.498671831588 0 8 19 39 100 100 96.5 100
"802" 1501629902346 83.6 851 5.5 97.1 3.2 54.7 33.7 8.4 11.6 32.6 52.6 3.2 2.8 65.1 31.1 0.9 8.6 40 50.5 1 41.767523 -87.691398 1.2269398055914 253.434328448959 0 9 24 57 42.1 55.8 32 51.5
"803" 1501629902349 3 615 20.2 89.9 0 29.2 37.5 33.3 0 4.1 69.4 26.5 3.4 23.7 50.8 22 0 13.6 71.2 15.3 41.968393 -87.676392 1.07185780638544 265.721190381091 0 4 11 38 70.8 95.9 72.8 86.5
"804" 1501629902352 99.7 295 0 94.3 3.1 46.9 40.6 9.4 6.3 28.1 59.4 6.3 5 52.5 40 2.5 7.5 32.5 60 0 41.874702 -87.730524 0.584874093651869 258.730027968844 1 15 34 62 50 65.7 42.5 60
"805" 1501629902353 13.6 284 19.8 84 0 22.2 37 40.7 0 18.5 55.6 25.9 0 39.1 39.1 21.7 0 4.3 87 8.7 41.891968 -87.683447 0.91983079791687 260.992113201776 1 18 33 58 77.7 81.5 60.8 95.7
"806" 1501629902354 99.6 220 0.4 98.8 6.7 60 33.3 0 10 40 50 0 10.7 35.7 50 3.6 3.6 25 67.9 3.6 41.814546 -87.616374 0.41503665099182 258.237351458065 6 9 25 60 33.3 50 53.6 71.5
"807" 1501629902355 1.9 899 39.5 96.8 0.9 40.7 49.1 9.3 2.8 24.1 63.9 9.3 2.5 36.1 47.5 13.9 3.2 18.5 66.1 12.1 41.929636 -87.718831 0.664052988710771 262.308886753725 1 9 30 49 58.4 73.2 61.4 78.2
"808" 1501629902356 8.8 447 40.8 98.4 7.8 47.1 37.3 7.8 3.8 17.3 75 3.8 4.2 62.5 25 8.3 2.1 18.8 62.5 16.7 41.9129 -87.696205 0.0450363907168489 261.900122104262 3 13 32 53 45.1 78.8 33.3 79.2
"809" 1501629902357 44.9 724 32.4 98.2 3.5 45.3 40.7 10.5 4.6 18.4 70.1 6.9 6.1 50 41.5 2.4 7.4 48.1 37 7.4 41.783865 -87.688321 1.17217580509347 254.478048968861 0 5 27 60 51.2 77 43.9 44.4
"810" 1501629902358 1.3 633 21.4 64.3 0 33.8 49.3 16.9 0 14.1 70.4 15.5 0 17.9 55.2 26.9 0 6 62.7 31.3 41.937646 -87.65386 1.78472846557443 264.481742603684 0 2 20 50 66.2 85.9 82.1 94
"811" 1501629902361 2.4 760 0 30 0 8 41.4 50.6 0 2.3 74.7 23 0 13.4 52.2 34.3 0 3 68.7 28.4 41.696052 -87.705368 2.99438030914068 248.865036090124 0 0 8 29 92 97.7 86.5 97.1
"812" 1501629902362 99.7 278 0.6 96.9 0 34.6 53.8 11.5 0 3.8 65.4 30.8 10 50 35 5 15 37.5 45 2.5 41.702346 -87.648172 1.30770423129273 250.817661195006 0 3 14 32 65.3 96.2 40 47.5
"813" 1501629902363 6 744 46 97.6 1 30.9 56.7 11.3 4 21.2 66.7 8.1 1.9 38.3 52.3 7.5 0.9 16.8 76.6 5.6 41.921363 -87.722398 0.587098837689297 261.72268420787 1 11 30 50 68 74.8 59.8 82.2
"814" 1501629902365 1.4 528 34.2 83.5 0 29.2 46.2 24.6 1.5 7.6 77.3 13.6 4.4 26.5 55.9 13.2 4.5 10.4 70.1 14.9 41.949733 -87.717162 0.351673897471193 263.552689140606 2 5 18 43 70.8 90.9 69.1 85
"815" 1501629902366 69.6 476 2.9 46.4 0 19 39.7 41.4 0 8.6 51.7 39.7 0 17.2 35.9 46.9 0 7.7 49.2 43.1 41.798256 -87.592656 0.96068222300011 257.940786477838 1 9 22 58 81.1 91.4 82.8 92.3
"816" 1501629902367 99 266 0 93.8 0 33.3 45.8 20.8 0 8.7 82.6 8.7 2.6 34.2 47.4 15.8 0 26.3 71.1 2.6 41.664843 -87.63847 1.75857947797983 248.917139571931 0 2 4 21 66.6 91.3 63.2 73.7
"817" 1501629902368 97.3 409 0.4 98 2.2 40 44.4 13.3 2.3 22.7 72.7 2.3 3.6 30.4 60.7 5.4 3.6 28.6 66.1 1.8 41.892004 -87.747294 0.0479893249727382 259.32545240992 1 8 29 54 57.7 75 66.1 67.9
"818" 1501629902369 98.6 250 0.7 88.6 0 38.7 54.8 6.5 3.2 29 64.5 3.2 2.9 45.7 40 11.4 2.9 37.1 54.3 5.7 41.738969 -87.620847 1.42065532418927 253.70812461379 0 9 19 45 61.3 67.7 51.4 60
"819" 1501629902370 11.9 642 11.6 26.8 0 15.9 42 42 0 4.3 66.7 29 2.3 13.6 43.2 40.9 2.3 9.1 61.4 27.3 41.941417 -87.64471 2.3177587189022 264.946623465718 0 1 16 45 84 95.7 84.1 88.7
"820" 1501629902371 31.4 513 9.4 55.9 0 18.1 40.3 41.7 0 5.6 55.6 38.9 3.4 23.7 35.6 37.3 3.3 16.7 43.3 36.7 41.914133 -87.646648 1.59445089095227 263.279180876229 0 5 27 54 82 94.5 72.9 80
"821" 1501629902372 98.8 388 0.2 98.1 8.9 37.8 40 13.3 4.4 13.3 68.9 13.3 2.4 34.1 53.7 9.8 4.9 14.6 68.3 12.2 41.653175 -87.600803 0.230579205006764 249.316756719651 1 2 2 18 53.3 82.2 63.5 80.5
"822" 1501629902373 1.2 955 50.5 98.3 4.4 43.7 40.7 11.1 0.7 23 68.9 7.4 3.1 45.4 46.9 4.6 0.8 21.5 73.1 4.6 41.798246 -87.689316 0.276666516127157 255.297304429604 2 9 36 62 51.8 76.3 51.5 77.7
"823" 1501629902374 1.8 884 50.2 98.1 3.1 41.9 44.2 10.9 2.3 20.6 71 6.1 2.4 46 45.2 6.5 2.4 26 57.5 14.2 41.919467 -87.731068 0.293648439926643 261.385209473576 1 11 30 49 55.1 77.1 51.7 71.7
"824" 1501629902375 16.2 738 37 98.4 3.5 52.9 32.9 10.6 4.7 30.2 62.8 2.3 7.8 54.7 37.5 0 4.5 28.8 56.1 10.6 41.905809 -87.729694 0.653312707116045 260.605400721274 3 10 31 52 43.5 65.1 37.5 66.7
"825" 1501629902376 1.1 330 1.1 11.9 0 15.6 46.9 37.5 0 6.3 56.3 37.5 0 2.9 38.2 58.8 0 0 26.5 73.5 41.989209 -87.802573 3.87431090095228 263.766437923358 0 0 3 27 84.4 93.8 97 100
"826" 1501629902380 22.5 425 14.8 26.8 0 20.3 43.5 36.2 0 2.9 60.9 36.2 1.8 12.5 41.1 44.6 0 7.1 53.6 39.3 41.900251 -87.629566 1.24080729816705 262.914256840514 0 4 24 57 79.7 97.1 85.7 92.9
"827" 1501629902381 98.6 375 0 98.6 2.6 47.4 42.1 7.9 2.6 10.5 81.6 5.3 2.1 50 37.5 10.4 12.5 35.4 50 2.1 41.754755 -87.645958 0.67281804272672 253.930549246337 3 14 23 52 50 86.9 47.9 52.1
"828" 1501629902382 99.4 612 0.5 96.5 3.2 46.8 41.9 8.1 6.5 29 61.3 3.2 3.8 63.8 30 2.5 7.4 51.9 40.7 0 41.76868 -87.572987 1.45101211024706 256.77153500969 0 4 18 49 50 64.5 32.5 40.7
"829" 1501629902383 1.6 599 9.9 36.5 1.4 12.7 47.9 38 0 5.6 56.3 38 1.6 17.5 63.5 17.5 1.6 15.6 67.2 15.6 41.994054 -87.792499 3.36678372823005 264.309744360451 0 0 2 25 85.9 94.3 81 82.8
"830" 1501629902384 0.8 601 5.1 16.7 0 16.7 41.7 41.7 1.7 3.3 40 55 0 0 34.9 65.1 0 0 27 73 41.978473 -87.812286 4.34217013060915 262.875935535761 0 0 3 30 83.4 95 100 100
"831" 1501629902385 66.6 555 16.6 95.5 3.3 63.9 27.9 4.9 9.8 47.5 41 1.6 1.3 39.5 55.3 3.9 2.6 26 66.2 5.2 41.900322 -87.731926 0.559509289863989 260.2201536125 3 11 31 54 32.8 42.6 59.2 71.4
"832" 1501629902386 17.2 388 28.9 93.5 2.4 36.6 51.2 9.8 0 9.8 78 12.2 0 23.7 63.2 13.2 2.6 13.2 81.6 2.6 41.891635 -87.665259 0.224839802971905 261.453769690121 2 14 34 58 61 90.2 76.4 84.2
"833" 1501629902387 98.2 524 0 99.6 5 51.7 36.7 6.7 3.3 35 50 11.7 2.5 65.4 29.6 2.5 3.8 42.5 51.3 2.5 41.774615 -87.675359 0.585378778887077 254.286645123839 2 11 27 58 43.4 61.7 32.1 53.8
"834" 1501629902388 98.8 383 0.2 95 2.1 62.5 29.2 6.3 2.1 22.9 68.8 6.3 0 50 50 0 5.9 35.3 55.9 2.9 41.805247 -87.620312 0.212236069594517 257.585597434973 2 9 27 60 35.5 75.1 50 58.8
"835" 1501629902389 88.2 205 0.8 57.6 0 10.3 51.7 37.9 0 3.4 58.6 37.9 3.4 13.8 58.6 24.1 0 6.9 79.3 13.8 41.742947 -87.705322 0.684226348439351 251.613024422705 1 2 17 49 89.6 96.5 82.7 93.1
"836" 1501629902390 77.9 101 10.7 99.3 0 41.7 50 8.3 0 8.3 91.7 0 0 47.1 47.1 5.9 0 33.3 61.1 5.6 41.85105 -87.717068 0.566498990529151 257.67787407593 4 13 33 65 58.3 91.7 53 66.7
"837" 1501629902391 0.8 821 26.3 78.2 1 36 42 21 0 12.9 63.4 23.8 5.1 35.7 39.8 19.4 4 24 57 15 41.972658 -87.73891 0.997697358784292 264.369266392895 1 3 11 36 63 87.2 59.2 72
"838" 1501629902392 97.3 696 0.1 99.1 1.3 49.4 41.8 7.6 3.8 25 65 6.3 3.2 50.8 42.9 3.2 1.6 34.9 61.9 1.6 41.769372 -87.634789 0.0359466072405048 255.091754195553 2 13 26 56 49.4 71.3 46.1 63.5
"839" 1501629902393 85.2 164 8.4 100 0 50 44.4 5.6 0 11.1 77.8 11.1 7.7 61.5 30.8 0 7.7 53.8 38.5 0 41.801571 -87.632489 0.476496481190757 257.036660292685 1 13 29 60 50 88.9 30.8 38.5
"840" 1501629902394 99.7 303 0.3 99.1 0 50 41.7 8.3 0 5.6 86.1 8.3 8.1 54.1 37.8 0 2.7 54.1 40.5 2.7 41.766642 -87.611518 0.392756580846132 255.576960931744 1 7 24 52 50 94.4 37.8 43.2
"841" 1501629902395 98.9 309 0 93.7 2.8 63.9 30.6 2.8 2.9 31.4 62.9 2.9 2.9 54.3 42.9 0 0 42.9 57.1 0 41.768918 -87.583169 0.999822356481819 256.499883976797 1 5 21 51 33.4 65.8 42.9 57.1
"842" 1501629902396 0.8 924 39.5 93.8 0 38.3 43.6 18 1.5 9 74.4 15 3.8 29.9 53.5 12.7 1.3 20.1 69.2 9.4 41.786716 -87.732372 1.57733578198657 253.462322747348 0 5 16 60 61.6 89.4 66.2 78.6
"843" 1501629902397 22.6 217 34.6 98.1 3.3 56.7 36.7 3.3 10 43.3 43.3 3.3 0 59.3 33.3 7.4 10.7 35.7 50 3.6 41.899914 -87.664315 0.322856603915363 261.968938656567 2 12 32 57 40 46.6 40.7 53.6
"844" 1501629902398 0.3 1010 48.2 97.1 0.6 37.7 43.2 18.5 0.6 14.8 64.8 19.8 2.6 45.5 44.2 7.7 1.9 24.4 66.7 7.1 41.787997 -87.719779 1.58070963187766 253.874619506241 0 5 21 60 61.7 84.6 51.9 73.8
"845" 1501629902399 7.8 809 27.2 77.6 1.4 14.9 48.6 35.1 0 6.8 56.8 36.5 0 22.2 56.8 21 2.5 9.9 67.9 19.8 41.983009 -87.665973 0.26503055981658 266.863087539637 1 2 8 37 83.7 93.3 77.8 87.7
"846" 1501629902400 83 366 12.3 92.6 6.5 35.5 51.6 6.5 3.2 19.4 67.7 9.7 5.9 64.7 26.5 2.9 14.7 35.3 44.1 5.9 41.858652 -87.721433 0.010176166355443 258.014091521102 7 14 33 62 58.1 77.4 29.4 50
"847" 1501629902401 99.3 531 0 96.9 4.2 35.4 50 10.4 0 16.3 63.3 20.4 1.5 47 34.8 16.7 0 24.2 71.2 4.5 41.728506 -87.596525 1.11131023813793 253.783206905552 0 2 16 35 60.4 83.7 51.5 75.7
"849" 1501629902403 5.9 798 18.6 77.3 3.2 23.2 45.3 28.4 1 16.5 55.7 26.8 0 32.5 44.6 22.9 0 11.8 62.4 25.9 41.98191 -87.712627 0.940098715255427 265.594776978004 1 4 10 36 73.7 82.5 67.5 88.3
"850" 1501629902404 2.6 619 53.3 98.8 0 46.3 29.6 24.1 1.9 16.7 63 18.5 4.4 44.1 36.8 14.7 1.5 30.9 55.9 11.8 41.852758 -87.683393 0.4678637363235 258.671993242639 3 16 41 65 53.7 81.5 51.5 67.7
"851" 1501629902405 98.1 371 1.2 89.5 2 18.4 55.1 24.5 0 14.3 73.5 12.2 2 28.6 51 18.4 3.9 21.6 66.7 7.8 41.740582 -87.60811 0.926985964687774 254.157736607251 1 7 20 41 79.6 85.7 69.4 74.5
"852" 1501629902406 13 122 21.7 100 0 26.1 43.5 30.4 0 13 73.9 13 0 26.3 63.2 10.5 0 10.5 84.2 5.3 41.860383 -87.692707 0.531567351611528 258.875482533958 5 16 39 65 73.9 86.9 73.7 89.5
"853" 1501629902408 89 134 2.9 98.8 0 55.6 38.9 5.6 11.1 33.3 55.6 0 4.2 45.8 33.3 16.7 4.2 20.8 58.3 16.7 41.855924 -87.703092 0.303558148269496 258.33620533623 7 15 38 65 44.5 55.6 50 75
"854" 1501629902409 2.1 895 13 81 1.1 25.3 43.2 30.5 2.1 7.2 73.2 17.5 0 24.5 49.1 26.4 1.9 12.4 61 24.8 41.957228 -87.760414 2.10372047013718 262.896316994009 0 2 14 36 73.7 90.7 75.5 85.8
"855" 1501629902410 18 166 26.8 82.4 0 50 50 0 0 26.7 66.7 6.7 5 45 40 10 5 30 50 15 41.929025 -87.669244 0.794832746592873 263.565321836309 1 5 26 50 50 73.4 50 65
"856" 1501629902411 99.3 107 0 96.6 7.4 51.9 40.7 0 0 40.7 59.3 0 2.8 58.3 38.9 0 11.1 41.7 47.2 0 41.815544 -87.603711 0.256905153385893 258.643593714583 3 8 22 60 40.7 59.3 38.9 47.2
"857" 1501629902412 1.2 634 26 72.9 1.3 28.9 46.1 23.7 2.6 14.5 65.8 17.1 0 17.4 54.7 27.9 1.1 9 61.8 28.1 41.965563 -87.772682 2.63605172587102 263.08738631989 0 0 7 35 69.8 82.9 82.6 89.9
"858" 1501629902413 1.9 762 28.2 88.4 2.5 31.6 44.3 21.5 1.3 16.5 70.9 11.4 1.5 36.8 45.6 16.2 2.9 26.5 54.4 16.2 41.918773 -87.682851 0.228973472658412 262.599090778127 2 10 33 53 65.8 82.3 61.8 70.6
"859" 1501629902414 75.4 220 12.7 96.9 0 33.3 41.7 25 0 25 54.2 20.8 6.1 30.3 18.2 45.5 3 27.3 36.4 33.3 41.688955 -87.609255 0.497291993076905 251.137139047949 1 2 9 28 66.7 75 63.7 69.7
"860" 1501629902416 13.6 428 16.6 63.1 6.5 45.2 22.6 25.8 3.1 25 40.6 31.3 0 48.7 35.9 15.4 5.1 38.5 53.8 2.6 41.961059 -87.671062 1.54364063952199 265.422838461192 0 3 13 40 48.4 71.9 51.3 56.4
"861" 1501629902417 51 585 11.9 42.5 0 16.5 42.4 41.2 1.1 10 51.1 37.8 0 11.4 53.2 35.4 0 8.9 64.6 26.6 41.792299 -87.594445 0.997534976998953 257.544329534497 1 8 23 57 83.6 88.9 88.6 91.2
"862" 1501629902419 98.2 289 0 97.3 0 44.4 33.3 22.2 5.7 37.1 45.7 11.4 9.3 60.5 30.2 0 9.3 41.9 44.2 4.7 41.804425 -87.605396 0.593568303231527 257.948095897485 3 9 25 59 55.5 57.1 30.2 48.9
"863" 1501629902420 100 73 0 94.6 0 31.3 50 18.8 0 6.3 81.3 12.5 6.3 62.5 28.1 3.1 9.4 34.4 53.1 3.1 41.778603 -87.63547 0.198181489961972 255.611974053992 3 12 27 58 68.8 93.8 31.2 56.2
"864" 1501629902421 2.1 930 45.7 95.6 3.4 41.4 41.4 13.8 2.6 18.8 65.8 12.8 4.1 39.2 44.6 12.2 2 26 62 10 41.941766 -87.719314 0.485259294440765 263.020990536287 2 7 21 46 55.2 78.6 56.8 72
"865" 1501629902422 1.7 764 32.4 88.4 2.6 30.3 51.3 15.8 1.3 14.5 56.6 27.6 2.1 33.8 46.9 17.2 1.3 18.8 67.8 12.1 41.942571 -87.768418 1.51072192593763 261.81258594914 0 2 14 41 67.1 84.2 64.1 79.9
"866" 1501629902423 100 320 0 98.1 4.7 58.1 30.2 7 7 23.3 65.1 4.7 2.6 41 53.8 2.6 2.6 35.9 59 2.6 41.764492 -87.600307 0.203824173472414 255.764050186901 3 7 23 52 37.2 69.8 56.4 61.6
"867" 1501629902426 14.3 698 36.8 77 0 18.7 53.3 28 0 13.3 64 22.7 1.7 15.3 54.2 28.8 0 8.3 68.3 23.3 42.015254 -87.696774 1.11900850474325 267.998185559909 0 2 5 24 81.3 86.7 83 91.6
"868" 1501629902427 99.1 296 0 97.9 3.7 66.7 22.2 7.4 7.1 39.3 53.6 0 4.9 53.7 34.1 7.3 7.3 46.3 43.9 2.4 41.784377 -87.623544 0.0949478184910266 256.27763487013 2 12 28 59 29.6 53.6 41.4 46.3
"869" 1501629902428 96.6 368 0 97.3 2.6 60.5 34.2 2.6 0 28.9 68.4 2.6 11.8 56.9 29.4 2 9.8 45.1 45.1 0 41.752045 -87.617629 0.894719744082412 254.557876884841 1 10 22 51 36.8 71 31.4 45.1
"870" 1501629902429 98.3 260 0 97 0 61.3 25.8 12.9 3.2 25.8 61.3 9.7 6.9 62.1 24.1 6.9 6.9 20.7 62.1 10.3 41.735189 -87.639638 1.00661485056924 252.965148258373 0 8 19 44 38.7 71 31 72.4
"871" 1501629902432 99.6 426 0 100 0 0 56 44 0 1.9 61.5 36.5 5 41.7 48.3 5 3.3 21.7 70 5 41.893045 -87.718792 0.171360376088596 260.128338576007 3 18 31 55 100 98 53.3 75
"872" 1501629902434 2 509 9.6 29.4 0 11.9 52.5 35.6 0 8.5 67.8 23.7 0 8.8 49.1 42.1 0 1.8 70.2 28.1 41.991297 -87.746299 0.986640026384073 265.301897569047 1 2 7 34 88.1 91.5 91.2 98.3
"873" 1501629902435 0.5 1071 38.5 99.5 1.4 37 47 14.6 2.7 12.6 69.4 15.3 1.4 37.7 47.3 13.6 1.3 24.2 65.4 9.1 41.79766 -87.705142 0.606472348716723 254.837125069983 2 6 31 62 61.6 84.7 60.9 74.5
"874" 1501629902436 41.1 568 9.3 70.5 1.6 27.4 48.4 22.6 1.6 12.9 75.8 9.7 3 29.9 52.2 14.9 1.5 17.9 65.7 14.9 41.913706 -87.7992 1.28721808036742 259.297189091296 0 1 8 42 71 85.5 67.1 80.6
"875" 1501629902437 99.6 435 0 86.1 2.3 52.3 43.2 2.3 4.5 18.2 68.2 9.1 2.9 50.7 34.8 11.6 2.9 24.6 65.2 7.2 41.739787 -87.601036 0.722909406903256 254.30985510247 2 3 19 39 45.5 77.3 46.4 72.4
"876" 1501629902438 1.1 822 36 94.6 3.2 48.4 37.6 10.8 0 25.3 69.5 5.3 3.5 25.7 57.5 13.3 0 15.8 73.7 10.5 41.941445 -87.732913 0.431965652523226 262.651779666887 1 5 18 44 48.4 74.8 70.8 84.2
"877" 1501629902439 98.1 336 0.5 95.5 4.7 58.1 34.9 2.3 2.4 35.7 61.9 0 14.3 45.7 37.1 2.9 13.9 38.9 47.2 0 41.680738 -87.624841 0.488562776988911 250.221272089753 1 2 8 25 37.2 61.9 40 47.2
"878" 1501629902442 92.7 166 1 95.6 0 33.3 66.7 0 0 25 75 0 4.5 54.5 27.3 13.6 0 18.2 68.2 13.6 41.717238 -87.59631 1.84745864403907 253.137471768569 0 3 15 33 66.7 75 40.9 81.8
"879" 1501629902443 71.6 37 2.7 98.6 18.2 45.5 27.3 9.1 0 63.6 36.4 0 6.7 60 26.7 6.7 20 13.3 66.7 0 41.935576 -87.680472 0.945942184515025 263.66048053175 2 6 25 50 36.4 36.4 33.4 66.7
"880" 1501629902444 2.1 864 57.7 96.8 1.5 41.8 44 12.7 2.2 20 68.9 8.9 1.1 44.4 48.7 5.8 4.7 20 66.8 8.4 41.929887 -87.760654 0.997350437122483 261.248956969321 1 3 18 44 56.7 77.8 54.5 75.2
"881" 1501629902446 0.5 790 43.4 98.7 0 37.9 54.7 7.4 4.2 22.1 67.4 6.3 3.4 56.2 33.7 6.7 10 21.1 65.6 3.3 41.80982 -87.668883 1.09515912999155 256.530015528368 0 7 41 63 62.1 73.7 40.4 68.9
"882" 1501629902447 100 319 0 99.7 2.7 56.8 32.4 8.1 8.1 29.7 54.1 8.1 4 40 42 14 7.8 25.5 54.9 11.8 41.784647 -87.608511 0.69079892262661 256.708772254707 2 9 24 57 40.5 62.2 56 66.7
"883" 1501629902451 16.2 489 6.4 67 0 10.2 52.5 37.3 0 3.4 59.3 37.3 0 8.2 60.7 31.1 1.6 6.6 59 32.8 41.844195 -87.641225 0.899115735219818 259.299085626849 1 8 35 64 89.8 96.6 91.8 91.8
"884" 1501629902452 51 845 26.8 95.4 4.6 54 32.2 9.2 8 31 55.2 5.7 3.8 52.6 36.1 7.5 9 33.1 51.9 6 41.73139 -87.552866 1.97689248522495 255.186375448767 0 1 6 30 41.4 60.9 43.6 57.9
"885" 1501629902453 98.5 415 0.2 98.2 7.7 43.6 46.2 2.6 5.1 12.8 79.5 2.6 0 53.2 42.6 4.3 2.1 14.6 77.1 6.3 41.799911 -87.650319 1.09639789608245 256.452257626917 0 12 31 60 48.8 82.1 46.9 83.4
"886" 1501629902454 98.7 347 0.3 99.5 5.6 52.8 22.2 19.4 8.3 25 58.3 8.3 2.1 44.7 53.2 0 2.1 44.7 51.1 2.1 41.790505 -87.632031 0.644233890328552 256.402015696514 2 12 27 60 41.6 66.6 53.2 53.2
"887" 1501629902455 0.9 1048 33.5 98.3 4.3 38.3 42.6 14.9 3.2 16.5 64.4 16 2.9 40.4 50.5 6.3 1.4 20.4 71.6 6.6 41.81612 -87.690431 0.657595337502477 256.320561846585 1 8 38 63 57.5 80.4 56.8 78.2
"888" 1501629902456 94.7 299 0.3 90 0 29.6 61.1 9.3 3.7 24.1 64.8 7.4 0 41.3 47.8 10.9 0 19.6 78.3 2.2 41.804861 -87.594216 0.507933567131544 258.282365102702 2 8 19 58 70.4 72.2 58.7 80.5
"889" 1501629902457 99.5 550 0 97 4.9 39.3 47.5 8.2 3.4 15.3 76.3 5.1 6.6 41 34.4 18 1.6 27.9 54.1 16.4 41.69062 -87.659325 2.0384645766284 249.824951196475 0 3 9 31 55.7 81.4 52.4 70.5
"890" 1501629902458 45.7 666 2.5 26.7 0 1.4 16.2 82.4 0 0 25.7 74.3 0 0 23.2 76.8 0 0 29.3 70.7 41.880854 -87.659474 0.479469830480911 260.970045728182 3 12 34 63 98.6 100 100 100
"891" 1501629902459 1.2 872 18.5 78.9 0 22.4 48.6 29 0 8.4 66.4 25.2 3.8 24.8 51.4 20 0 13.1 71 15.9 41.958924 -87.78245 2.60065177588063 262.441512423027 0 0 8 35 77.6 91.6 71.4 86.9
"892" 1501629902460 96.1 529 0.4 97.4 9.4 39.6 47.2 3.8 3.8 26.4 62.3 7.5 1.9 59.6 36.5 1.9 3.9 33.3 54.9 7.8 41.865216 -87.653867 0.804107893826843 260.196661191233 1 13 37 64 51 69.8 38.4 62.7
"893" 1501629902461 2.2 321 24.4 58.4 0 14.7 52.9 32.4 0 2.9 55.9 41.2 0 7.1 39.3 53.6 3.6 0 32.1 64.3 41.994254 -87.724429 0.31300694039867 266.033931847151 1 2 7 34 85.3 97.1 92.9 96.4
"894" 1501629902462 98 727 0 98.6 2.7 44 41.3 12 0 22.7 66.7 10.7 8 44.8 34.5 12.6 8 33.3 44.8 13.8 41.884948 -87.750744 0.553726350298429 258.814856703292 1 11 29 55 53.3 77.4 47.1 58.6
"895" 1501629902464 99.1 535 0 97.1 7 56.1 21.1 15.8 1.8 36.8 50.9 10.5 6.8 44.1 45.8 3.4 1.7 37.3 49.2 11.9 41.758905 -87.64923 0.888368061695257 254.0826241019 3 11 25 53 36.9 61.4 49.2 61.1
"896" 1501629902465 5.2 959 34.3 91.8 2 26.4 46.6 25 0.7 6.7 71.1 21.5 1.6 26 48.8 23.6 1.6 6.5 73.4 18.5 41.746865 -87.731849 2.02630818608063 251.125122183555 0 1 15 48 71.6 92.6 72.4 91.9
"897" 1501629902466 54.5 263 35 97.4 0 39.3 39.3 21.4 4 20 72 4 3.4 44.8 44.8 6.9 3.3 30 66.7 0 41.964274 -87.655918 1.53462383445263 266.009496232573 0 1 12 40 60.7 76 51.7 66.7
"898" 1501629902468 18 587 15.5 58.5 0 23 16.4 60.7 0 13.1 52.5 34.4 0 15.5 36.2 48.3 0 5.2 55.2 39.7 41.995496 -87.684574 1.0848389560278 267.127857840061 0 3 7 35 77.1 86.9 84.5 94.9
"899" 1501629902469 0.1 740 57.6 98.8 1.3 44.7 44.7 9.2 2.6 23.7 64.5 9.2 2 56.1 37.8 4.1 1 28.3 64.6 6.1 41.848535 -87.698075 0.342933141418328 258.03163555212 3 16 39 65 53.9 73.7 41.9 70.7
